"code","version","power","model_year","wheelbase","axles_number","width","length","height","seats_number","doors_number","net_weight","gross_weight","payload","displacement","cylinders_number","passengers_number","wheels_number","distributor_price","transport_cost","other_amounts","purchase_discount","igv_amount","total_purchase_excl_igv","total_purchase_incl_igv","sale_price","margin","family_id","class_id","fuel_id","vehicle_type_id","body_type_id","traction_type_id","transmission_id","currency_type_id"
"101001","X7 PLUS 1.5 MT 4X2","120 - 180 HP","2025","150","2","4","0","3","0","5","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"101002","X7 PLUS LIMITED 1.5 AT 4X2","121 - 180 HP","2025","150","2","158","158","158","0","5","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"101003","X7 PLUS LIMITED 1.5 AT 4X2 GLPT","122 - 180 HP","2025","150","2","1870","4730","1720","4","4","700","2100","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"101004","X7 PLUS LIMITED 1.5 MT 4X2","123 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"101005","X7 PLUS LIMITED 1.5 MT 4X2 GLPT","124 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"101006","X7 PLUS LUXURY 1.5 AT 4X2","125 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"101007","X7 PLUS LUXURY 1.5 AT 4X2 GLPT","126 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"101008","X7 PLUS LUXURY 1.5 MT 4X2","127 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"101009","X7 PLUS LUXURY 1.5 MT 4X2 GLPT","128 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","1","3","4","590","550","648","668","1"
"102001","NEW CS15 CONFORT 1.5L MT 4X2","129 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","2","3","4","590","550","648","668","1"
"102002","NEW CS15 ELITE 1.5L DCT 4X2","130 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","2","3","4","590","550","648","668","1"
"102003","NEW CS15 ELITE 1.5L MT 4X2","131 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","2","3","4","590","550","648","668","1"
"102004","NEW CS15 ELITE 1.5L MT 4X2 GLPT","132 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","2","3","4","590","550","648","668","1"
"102005","NEW CS15 LUXURY 1.5L DCT 4X2","133 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","2","3","4","590","550","648","668","1"
"103001","CS35 PLUS 1.4T AT LIMITED","134 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","3","3","4","590","550","648","668","1"
"103002","CS35 PLUS 1.6 MT COMFORTABLE","135 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","3","3","4","590","550","648","668","1"
"103003","CS35 PLUS 1.6 MT LUXURY","136 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","3","3","4","590","550","648","668","1"
"103004","NEW CS35 PLUS CONFORT 1.4 AT 4X2","137 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","3","3","4","590","550","648","668","1"
"103005","NEW CS35 PLUS LIMITED 1.4T AT 2WD","138 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","3","3","4","590","550","648","668","1"
"103006","NEW CS35 PLUS LIMITED 1.4T AT 2WD GLPT","139 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","3","3","4","590","550","648","668","1"
"103007","NEW CS35 PLUS LUXURY 1.4T AT 2WD","140 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","3","3","4","590","550","648","668","1"
"103008","NEW CS35 PLUS LUXURY 1.4T AT 2WD GLPT","141 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","3","3","4","590","550","648","668","1"
"104001","CS55 1.5T 6MT COMFORTABLE","142 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","4","3","4","590","550","648","668","1"
"104002","CS55 1.5T 6MT ELITE","143 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","4","3","4","590","550","648","668","1"
"104003","CS55 LUXURY 1.5L AT 4X2","144 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","4","3","4","590","550","648","668","1"
"104004","CS55 LUXURY 1.5L MT 4X2","145 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","4","3","4","590","550","648","668","1"
"104005","NEW CS55 PLUS ELITE 1.5 DCT 2WD","146 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","4","3","4","590","550","648","668","1"
"104006","NEW CS55 PLUS FLAGSHIP 1.5 DCT 2WD","147 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","4","3","4","590","550","648","668","1"
"104007","NEW CS55 PLUS LUXURY 1.5 DCT 2WD","148 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","4","3","4","590","550","648","668","1"
"105001","CX70 1.5T AT COMFORTABLE","149 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","5","3","4","590","550","648","668","1"
"105002","CX70 1.5T MT COMFORTABLE","150 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","5","3","4","590","550","648","668","1"
"105003","CX70 1.6L MT BASIC","151 - 180 HP","2025","150","0","0","0","0","0","0","700","1235","0","0","3","4","4","0","0","0","0","0","0","0","0","0","5","3","4","590","550","648","668","1"
